experiment,plate_number,plate_name,zone,strain,treatment,row,column,well
8x6,5,b2,B,B.2.14a,8,A,2,A2
8x6,5,b2,B,B.2.14a,12,B,2,B2
8x6,5,b2,B,B.2.14a,16,C,2,C2
8x6,5,b2,B,B.2.14a,20,D,2,D2
8x6,5,b2,B,B.2.14a,24,E,2,E2
8x6,5,b2,B,B.2.14a,28,F,2,F2
8x6,5,b2,B,B.2.17a,8,A,3,A3
8x6,5,b2,B,B.2.17a,12,B,3,B3
8x6,5,b2,B,B.2.17a,16,C,3,C3
8x6,5,b2,B,B.2.17a,20,D,3,D3
8x6,5,b2,B,B.2.17a,24,E,3,E3
8x6,5,b2,B,B.2.17a,28,F,3,F3
8x6,5,b2,B,B.2.19b,8,A,4,A4
8x6,5,b2,B,B.2.19b,12,B,4,B4
8x6,5,b2,B,B.2.19b,16,C,4,C4
8x6,5,b2,B,B.2.19b,20,D,4,D4
8x6,5,b2,B,B.2.19b,24,E,4,E4
8x6,5,b2,B,B.2.19b,28,F,4,F4
8x6,5,b2,B,B.2.23a,8,A,5,A5
8x6,5,b2,B,B.2.23a,12,B,5,B5
8x6,5,b2,B,B.2.23a,16,C,5,C5
8x6,5,b2,B,B.2.23a,20,D,5,D5
8x6,5,b2,B,B.2.23a,24,E,5,E5
8x6,5,b2,B,B.2.23a,28,F,5,F5
8x6,5,b2,B,B.2.32a,8,A,6,A6
8x6,5,b2,B,B.2.32a,12,B,6,B6
8x6,5,b2,B,B.2.32a,16,C,6,C6
8x6,5,b2,B,B.2.32a,20,D,6,D6
8x6,5,b2,B,B.2.32a,24,E,6,E6
8x6,5,b2,B,B.2.32a,28,F,6,F6
8x6,5,b2,B,B.2.34c,8,A,7,A7
8x6,5,b2,B,B.2.34c,12,B,7,B7
8x6,5,b2,B,B.2.34c,16,C,7,C7
8x6,5,b2,B,B.2.34c,20,D,7,D7
8x6,5,b2,B,B.2.34c,24,E,7,E7
8x6,5,b2,B,B.2.34c,28,F,7,F7
8x6,5,b2,B,B.2.44a,8,A,8,A8
8x6,5,b2,B,B.2.44a,12,B,8,B8
8x6,5,b2,B,B.2.44a,16,C,8,C8
8x6,5,b2,B,B.2.44a,20,D,8,D8
8x6,5,b2,B,B.2.44a,24,E,8,E8
8x6,5,b2,B,B.2.44a,28,F,8,F8
8x6,6,b3,B,B.2.3b,8,A,1,A1
8x6,6,b3,B,B.2.3b,12,B,1,B1
8x6,6,b3,B,B.2.3b,16,C,1,C1
8x6,6,b3,B,B.2.3b,20,D,1,D1
8x6,6,b3,B,B.2.3b,24,E,1,E1
8x6,6,b3,B,B.2.3b,28,F,1,F1
8x6,6,b3,B,B.2.14a,8,A,2,A2
8x6,6,b3,B,B.2.14a,12,B,2,B2
8x6,6,b3,B,B.2.14a,16,C,2,C2
8x6,6,b3,B,B.2.14a,20,D,2,D2
8x6,6,b3,B,B.2.14a,24,E,2,E2
8x6,6,b3,B,B.2.14a,28,F,2,F2
8x6,6,b3,B,B.2.17a,8,A,3,A3
8x6,6,b3,B,B.2.17a,12,B,3,B3
8x6,6,b3,B,B.2.17a,16,C,3,C3
8x6,6,b3,B,B.2.17a,20,D,3,D3
8x6,6,b3,B,B.2.17a,24,E,3,E3
8x6,6,b3,B,B.2.17a,28,F,3,F3
8x6,6,b3,B,B.2.19b,8,A,4,A4
8x6,6,b3,B,B.2.19b,12,B,4,B4
8x6,6,b3,B,B.2.19b,16,C,4,C4
8x6,6,b3,B,B.2.19b,20,D,4,D4
8x6,6,b3,B,B.2.19b,24,E,4,E4
8x6,6,b3,B,B.2.19b,28,F,4,F4
8x6,6,b3,B,B.2.23a,8,A,5,A5
8x6,6,b3,B,B.2.23a,12,B,5,B5
8x6,6,b3,B,B.2.23a,16,C,5,C5
8x6,6,b3,B,B.2.23a,20,D,5,D5
8x6,6,b3,B,B.2.23a,24,E,5,E5
8x6,6,b3,B,B.2.23a,28,F,5,F5
8x6,6,b3,B,B.2.32a,8,A,6,A6
8x6,6,b3,B,B.2.32a,12,B,6,B6
8x6,6,b3,B,B.2.32a,16,C,6,C6
8x6,6,b3,B,B.2.32a,20,D,6,D6
8x6,6,b3,B,B.2.32a,24,E,6,E6
8x6,6,b3,B,B.2.32a,28,F,6,F6
8x6,6,b3,B,B.2.34c,8,A,7,A7
8x6,6,b3,B,B.2.34c,12,B,7,B7
8x6,6,b3,B,B.2.34c,16,C,7,C7
8x6,6,b3,B,B.2.34c,20,D,7,D7
8x6,6,b3,B,B.2.34c,24,E,7,E7
8x6,6,b3,B,B.2.34c,28,F,7,F7
8x6,6,b3,B,B.2.44a,8,A,8,A8
8x6,6,b3,B,B.2.44a,12,B,8,B8
8x6,6,b3,B,B.2.44a,16,C,8,C8
8x6,6,b3,B,B.2.44a,20,D,8,D8
8x6,6,b3,B,B.2.44a,24,E,8,E8
8x6,6,b3,B,B.2.44a,28,F,8,F8
8x6,7,f1,F,F.1.2a,8,A,1,A1
8x6,7,f1,F,F.1.2a,12,B,1,B1
8x6,7,f1,F,F.1.2a,16,C,1,C1
8x6,7,f1,F,F.1.2a,20,D,1,D1
8x6,7,f1,F,F.1.2a,24,E,1,E1
8x6,7,f1,F,F.1.2a,28,F,1,F1
8x6,7,f1,F,F.1.5b,8,A,2,A2
8x6,7,f1,F,F.1.5b,12,B,2,B2
8x6,7,f1,F,F.1.5b,16,C,2,C2
8x6,7,f1,F,F.1.5b,20,D,2,D2
8x6,7,f1,F,F.1.5b,24,E,2,E2
8x6,7,f1,F,F.1.5b,28,F,2,F2
8x6,7,f1,F,F.1.15c,8,A,3,A3
8x6,7,f1,F,F.1.15c,12,B,3,B3
8x6,7,f1,F,F.1.15c,16,C,3,C3
8x6,7,f1,F,F.1.15c,20,D,3,D3
8x6,7,f1,F,F.1.15c,24,E,3,E3
8x6,7,f1,F,F.1.15c,28,F,3,F3
8x6,7,f1,F,F.1.21a,8,A,4,A4
8x6,7,f1,F,F.1.21a,12,B,4,B4
