X Read #,Y Read #,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
1,1,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2642,255,4391,289,587,434,7457,49,7490,116,488,3192,2736,70,1306,9,662,133,2,1,0,6,26,13
1,3,2322,265,5950,160,1130,680,6660,55,5839,0,388,3266,2512,129,994,15,2354,42,13,21,16,16,35,1
1,4,4699,207,6817,131,1308,578,5195,51,1182,16,269,4181,7227,112,1208,20,2573,14,16,12,7,14,19,16
1,5,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2543,166,1208,375,831,391,7325,792,1497,167,340,1244,1867,3713,5573,4,211,50,4,18,14,17,20,5
2,2,3686,478,3319,924,233,337,3405,352,10952,367,285,873,1336,962,6984,15,1464,21,17,16,18,6,17,15
2,3,3748,630,4671,956,253,416,2908,698,12536,43,427,1126,1301,112,7545,12,2072,96,25,9,7,0,54,0
2,4,4659,369,5307,494,582,419,3107,662,3951,33,666,2824,1157,120,6729,5,2529,36,0,13,17,0,30,23
2,5,6689,316,6130,130,607,505,10139,963,1926,60,396,6552,4165,205,1877,15,1490,30,5,11,8,0,28,4
3,1,3812,125,1310,121,698,312,4542,3762,714,169,552,1772,2993,102,5984,7,1873,86,21,17,35,17,30,22
3,2,3448,376,2172,461,537,350,3512,698,5262,61,353,651,2668,196,8018,22,3423,208,11,10,6,17,30,4
3,3,4578,501,4884,1446,235,352,2801,362,8745,1703,679,1613,1433,1341,8321,223,3442,51,6,26,21,11,110,9
3,4,5288,496,5832,824,294,271,2515,374,5503,413,1468,1881,1827,2225,4998,18,1593,31,10,36,10,14,50,20
3,5,6528,381,5866,685,729,364,7414,1127,2926,276,450,2724,1210,6125,1155,18,755,30,13,19,11,18,32,19
4,1,5924,344,4015,134,1305,423,2533,458,521,66,308,1524,4227,83,748,4,175,155,12,21,1,21,28,6
4,2,5876,359,4496,314,998,306,2885,156,403,5,791,1540,3278,84,3221,26,672,97,12,10,0,13,19,15
4,3,5438,373,5105,541,651,320,4871,130,6240,35,800,1742,1682,163,6015,44,3741,42,6,18,0,7,24,20
4,4,5712,418,5663,425,766,433,6918,131,4973,33,692,2611,4566,1023,3261,17,1905,33,10,8,22,4,57,16
4,5,6706,598,6263,200,1233,807,3129,579,2322,105,473,4815,1908,3289,301,17,60,32,0,14,12,9,52,7
5,1,,,,,,,,,,,,,,,,,,,,,,,,
5,2,7074,579,6913,184,1522,445,1826,51,514,191,212,1518,1532,58,312,19,364,66,22,12,0,11,18,16
5,3,6698,494,7011,51,1531,533,2006,86,344,18,324,1652,1042,80,862,24,2867,263,0,4,7,7,25,13
5,4,6450,630,7052,150,1702,535,2216,75,535,40,430,1903,1185,82,267,16,1159,68,20,30,2,12,0,3
5,5,,,,,,,,,,,,,,,,,,,,,,,,

