X Read #,Y Read #,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
1,1,,,,,,,,,,,,,,,,,,,,,,,,
1,2,4276,668,6429,411,2677,648,9716,1151,12975,271,208,5568,1619,1121,642,9,20,95,12,16,5,16,18,7
1,3,3330,808,8250,67,2639,591,6785,1611,1388,133,159,4583,1739,3164,526,8,438,314,11,7,13,12,19,11
1,4,4794,938,9478,30,2460,514,9339,1661,936,28,1057,4786,2037,2743,771,8,2328,265,7,15,8,9,19,13
1,5,,,,,,,,,,,,,,,,,,,,,,,,
2,1,3600,372,2842,928,1533,572,2884,2564,2002,308,76,2910,2520,237,563,11,31,136,13,17,9,6,32,7
2,2,5643,737,5337,6272,879,386,7953,3697,15195,416,88,2922,1468,1710,970,11,44,96,14,14,14,8,34,13
2,3,3720,1349,6927,1832,1346,400,11480,1006,14372,1030,108,2561,1297,8594,2318,14,301,89,14,12,10,15,30,6
2,4,3475,614,7403,90,1554,302,4245,725,1941,24,155,7983,1207,5129,5792,13,2858,192,3,14,10,8,27,14
2,5,6517,676,8225,10,1612,522,4136,519,1471,309,1478,6608,2031,1908,2052,15,2752,122,8,11,10,9,15,10
3,1,3356,472,2521,117,1769,359,2373,3067,1506,58,131,2250,1398,191,775,12,71,387,13,13,8,12,25,10
3,2,7248,555,3794,247,960,391,1580,3591,11117,274,109,1664,1470,1488,2815,12,274,366,11,15,14,7,46,12
3,3,6720,2146,7067,2480,842,347,2271,1097,16421,4511,107,960,1641,4921,9561,317,1837,152,7,28,13,15,170,16
3,4,2945,860,8127,265,772,431,2329,591,7461,425,169,2046,1151,3740,8801,16,3869,136,10,10,8,8,127,14
3,5,5782,480,7949,57,1798,241,3011,405,1264,14,1321,4499,1964,1694,7569,16,3458,101,10,16,7,6,53,10
4,1,6231,1289,6171,122,1500,296,2943,1634,999,20,1257,3273,1492,190,6602,12,1290,153,13,14,11,7,31,16
4,2,3546,802,6788,66,1522,298,2816,1847,1107,9,140,2175,1683,285,7909,19,1049,179,10,17,11,5,31,11
4,3,2917,752,7341,160,1169,327,2462,516,1724,56,161,1883,1270,632,3370,10,6902,196,13,10,15,12,32,6
4,4,3864,828,7898,223,1150,322,2651,188,2120,190,255,3214,1670,2196,1717,4,9574,93,11,16,10,8,74,11
4,5,7006,869,8378,94,1271,408,2652,185,1770,22,502,7968,6679,398,1702,19,1476,59,7,17,15,10,143,17
5,1,,,,,,,,,,,,,,,,,,,,,,,,
5,2,7964,915,9631,12,1167,399,1891,210,797,26,2466,1871,2103,315,1541,14,457,106,16,16,4,7,29,10
5,3,7068,771,9889,21,1572,490,2032,65,666,29,1449,2481,3058,235,526,13,3866,331,2,11,8,9,24,15
5,4,6963,1038,9789,399,1118,545,2369,101,922,14,1737,5347,1206,222,423,7,5345,166,11,14,12,12,16,10
5,5,,,,,,,,,,,,,,,,,,,,,,,,

