X Read #,Y Read #,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
1,1,,,,,,,,,,,,,,,,,,,,,,,,
1,2,12581,2740,7810,493,2296,1502,2542,4594,4667,240,2128,4150,1161,1666,3292,15,1597,1227,14,1,12,15,11,2
1,3,3408,2340,10970,335,2256,264,2049,3489,5272,209,2266,2713,884,2780,3492,9,745,950,20,5,22,18,24,16
1,4,5157,2258,13257,243,2593,480,2708,2302,4635,250,2315,1893,1296,2641,2823,16,576,1141,7,7,11,18,12,24
1,5,,,,,,,,,,,,,,,,,,,,,,,,
2,1,4525,2511,3009,820,1952,392,3464,4422,5028,235,1819,3166,2386,4019,3663,36,8381,583,12,22,25,8,4,19
2,2,4494,2555,6244,1052,2375,245,2728,3967,6032,1298,1594,6763,1473,3466,3804,26,7805,524,8,18,5,26,22,7
2,3,3372,3995,9045,921,2130,241,2278,1787,6608,1548,2194,5720,941,3732,3878,14,6790,693,7,12,4,0,16,13
2,4,3455,2843,10941,812,2124,207,2627,2310,6660,650,2127,1478,1626,4567,3019,9,906,759,16,1,17,26,4,3
2,5,7315,1246,12298,133,2862,233,4111,2502,6919,194,1974,5641,2433,3692,2171,15,952,969,21,16,16,14,26,19
3,1,3878,1153,2614,610,1414,300,4758,2685,4557,684,1699,4127,3506,1702,3651,5,797,646,17,6,17,7,24,7
3,2,3213,1210,4508,1280,1747,335,4003,2358,5314,829,2159,3996,2638,3469,4493,11,659,343,8,15,1,11,20,18
3,3,3015,2897,9579,1081,3785,229,3044,2256,6953,1197,1704,4899,1507,4343,4187,95,7227,375,17,25,21,14,91,27
3,4,2996,2023,11715,800,3492,186,4037,2279,7915,921,2324,6240,2571,3146,3649,14,7484,198,24,21,9,6,48,7
3,5,6186,1515,12042,409,2986,194,5461,2141,8623,118,1978,5278,3578,3822,2974,8,7722,343,15,17,0,23,38,13
4,1,7415,1119,7775,266,1307,320,6243,1187,3923,172,2616,2247,4785,1504,3098,3,480,649,8,20,11,9,26,20
4,2,4019,995,8463,386,1723,189,6071,1367,4889,434,2839,1554,4168,2947,4299,22,608,467,17,9,0,10,30,13
4,3,2921,1446,10079,506,2474,207,5115,1224,6245,424,3778,1860,3448,2987,4286,5,2346,526,10,21,20,7,19,12
4,4,3706,1467,11752,757,2684,345,4891,892,7634,376,3693,3634,4259,1879,3585,17,7022,402,17,16,17,6,23,11
4,5,7980,1337,12180,179,3155,208,6678,1548,8961,130,1743,4666,4711,597,2641,25,7407,519,19,7,0,17,17,8
5,1,,,,,,,,,,,,,,,,,,,,,,,,
5,2,10009,1224,12958,499,1909,260,7323,175,4895,288,1136,1864,5719,643,4111,21,1649,362,14,18,18,8,2,2
5,3,8714,1197,13580,280,2153,300,7339,144,6036,170,1618,1238,5512,285,4214,6,1008,369,0,20,5,13,21,14
5,4,8429,1337,14159,397,2533,359,7426,258,6759,140,2603,1548,5685,147,2837,28,1982,608,19,25,15,17,16,13
5,5,,,,,,,,,,,,,,,,,,,,,,,,

