X Read #,Y Read #,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
1,1,,,,,,,,,,,,,,,,,,,,,,,,
1,2,4860,1412,7192,565,2545,399,3527,1457,6324,61,379,1368,2154,3395,787,3,48,374,8,26,22,6,10,22
1,3,3565,1778,9250,97,1949,753,7951,2364,8299,17,405,669,1711,2297,657,0,409,263,9,13,9,27,3,21
1,4,5177,981,10535,20,1338,681,12932,1920,1175,49,1285,677,2023,1202,712,10,1433,287,15,16,10,9,9,15
1,5,,,,,,,,,,,,,,,,,,,,,,,,
2,1,5897,480,3301,686,3156,462,2523,4069,2188,256,157,4969,1353,2351,685,2,31,220,11,24,13,0,26,23
2,2,5635,965,6205,6022,4369,433,2147,5579,11868,339,87,3827,1118,5090,983,24,42,155,7,9,18,20,33,6
2,3,3728,1807,7680,5176,3438,384,2474,1305,14929,467,166,3616,1040,4515,1687,26,757,160,21,3,17,14,15,11
2,4,3614,877,8468,264,2471,301,2894,970,2728,164,344,1385,1021,2864,3756,5,3275,448,20,7,10,10,14,0
2,5,7226,1327,9618,22,1270,276,4118,814,1888,66,1458,823,2050,1169,2234,26,2182,277,13,0,14,15,20,2
3,1,3742,478,2928,60,1919,286,2624,2738,1761,108,332,3233,1209,248,865,8,37,418,14,27,2,8,32,16
3,2,3030,466,4427,130,3310,454,1464,3028,13219,169,93,3665,1298,2563,1827,12,105,196,13,18,19,3,52,0
3,3,3346,1642,7935,114,1505,351,2278,1575,15310,7568,88,4492,1274,5070,9587,491,1347,179,0,22,7,8,202,21
3,4,3034,957,9137,109,2149,205,2153,1020,3983,630,105,3580,970,3314,2553,17,5818,157,18,19,19,2,78,15
3,5,6211,702,9130,27,803,278,2999,579,1460,43,102,3781,1204,2190,7849,0,4262,185,19,14,10,13,42,6
4,1,7950,1319,7142,32,1905,332,2924,1943,1119,9,476,3233,1403,330,6902,14,630,424,10,21,12,17,30,14
4,2,3774,840,7692,115,3372,331,2914,2257,1121,20,208,2356,1374,2796,8399,4,4508,370,0,13,5,30,14,11
4,3,2916,1017,8563,42,4026,371,2823,1466,1350,86,222,2546,1395,3082,8841,1,9903,135,9,25,12,7,35,10
4,4,3810,693,9083,39,3053,306,2150,225,2299,132,399,8258,1806,1307,5143,17,10076,184,15,17,12,10,93,14
4,5,7673,844,9393,41,1591,314,2615,289,1969,98,2079,8271,8269,167,1737,18,7902,118,23,12,5,0,61,15
5,1,,,,,,,,,,,,,,,,,,,,,,,,
5,2,9018,1056,11067,42,508,466,1941,339,859,24,3247,1681,1743,584,1385,18,1229,272,13,26,16,19,44,11
5,3,7649,1315,11163,21,781,372,2157,135,823,27,429,3055,5278,436,551,17,4408,362,6,16,0,3,20,17
5,4,7663,1014,11187,52,1474,433,2475,141,1079,44,744,7574,1246,287,559,11,4285,494,29,26,4,1,17,15
5,5,,,,,,,,,,,,,,,,,,,,,,,,

