X Read #,Y Read #,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
1,1,,,,,,,,,,,,,,,,,,,,,,,,
1,2,4423,136,3355,90,500,501,2978,102,3491,2,294,1086,2654,267,5200,15,144,31,10,9,14,0,13,12
1,3,4049,162,2531,259,608,552,4340,291,2038,22,187,709,2507,30,2522,5,145,20,31,32,0,23,0,20
1,4,3304,209,2034,31,375,616,3417,462,595,25,246,1360,1910,46,466,8,162,32,0,11,27,11,29,20
1,5,,,,,,,,,,,,,,,,,,,,,,,,
2,1,5477,47,3199,154,75,281,4438,457,1640,172,214,484,3563,210,5135,22,432,54,13,14,20,10,12,19
2,2,5432,14,3188,310,67,283,3852,449,3624,53,268,701,3594,457,6653,0,319,23,11,6,15,4,31,27
2,3,4691,89,5247,349,347,321,5589,650,4014,44,525,598,4813,135,7461,13,321,8,5,16,4,22,34,15
2,4,3597,188,3260,0,422,260,6394,670,2019,0,328,1033,3387,74,2491,14,154,18,0,23,11,7,15,13
2,5,3398,159,2516,22,505,538,4731,400,2449,20,829,1780,3248,209,2132,7,193,27,10,14,0,0,36,9
3,1,3546,52,2373,48,141,262,4097,570,1689,43,230,399,2976,394,157,19,957,53,19,7,1,0,20,21
3,2,4255,49,4771,367,296,267,3308,739,3576,20,223,354,3701,347,616,14,1025,14,2,14,0,14,6,0
3,3,3594,108,3678,219,579,322,3668,142,4967,134,567,575,3717,401,6120,49,1280,43,9,21,18,16,32,12
3,4,3397,89,3557,55,464,477,3884,218,3729,419,459,637,2967,499,5069,28,277,14,0,38,0,2,44,27
3,5,3137,128,2859,26,634,321,4681,1023,2213,34,683,926,3941,1899,5372,23,255,17,4,29,1,8,46,0
4,1,3419,91,1703,60,147,301,3431,170,1007,51,86,847,2165,60,93,13,200,21,7,20,11,13,11,3
4,2,3162,114,2952,184,81,286,2988,44,967,8,127,335,2480,151,122,17,145,10,9,23,11,10,8,11
4,3,3169,80,3659,9,369,288,3141,38,2562,45,283,489,1861,453,2077,11,499,10,0,24,11,10,10,6
4,4,2614,202,3597,60,513,352,3209,60,3821,8,556,524,1815,471,4692,19,1739,21,17,15,9,15,48,26
4,5,2919,949,3002,19,924,458,2768,263,5263,12,585,1386,2307,597,2981,17,2646,22,18,19,8,19,155,25
5,1,,,,,,,,,,,,,,,,,,,,,,,,
5,2,3111,177,1995,57,57,259,1760,38,663,8,103,427,1408,17,57,14,176,22,11,30,16,5,12,10
5,3,3060,277,2497,239,45,259,1890,25,513,28,130,477,1224,9,65,22,187,22,0,13,17,8,0,20
5,4,2905,503,2877,22,196,364,2525,39,419,22,467,774,1239,26,71,14,193,82,15,18,14,8,7,23
5,5,,,,,,,,,,,,,,,,,,,,,,,,

