X Read #,Y Read #,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
1,1,,,,,,,,,,,,,,,,,,,,,,,,
1,2,35,46,38,2675,2172,2809,13,5,5,7,14,6,9,12,10,13,9,10,13,6,7,11,11,19
1,3,35,33,41,2024,3044,3535,13,8,10,14,14,8,12,16,15,13,7,9,11,6,6,13,7,12
1,4,36,46,35,1524,1350,1716,9,14,11,10,12,13,8,13,10,7,11,14,10,16,11,17,20,11
1,5,,,,,,,,,,,,,,,,,,,,,,,,
2,1,23,37,44,883,469,831,10,14,7,9,14,10,8,9,9,11,7,10,15,14,12,9,15,8
2,2,35,51,81,2094,2547,1448,4,12,7,10,12,10,5,14,7,10,17,10,12,5,10,8,8,4
2,3,46,93,81,4189,4849,6447,16,19,8,12,11,12,7,12,11,9,14,13,18,13,3,17,16,9
2,4,48,34,82,3431,4258,4127,7,12,14,8,6,18,6,11,11,13,10,15,9,8,14,6,12,14
2,5,39,44,56,2098,2111,2128,10,17,15,10,10,9,15,14,9,10,15,12,14,13,13,7,10,12
3,1,28,32,39,1474,1160,684,14,16,8,4,5,7,14,9,8,4,8,9,16,6,7,9,8,6
3,2,43,69,55,2918,2840,5003,7,19,7,10,10,12,12,17,6,9,11,14,12,7,20,6,14,17
3,3,88,207,171,4796,5075,4366,11,12,18,18,14,10,3,9,15,7,13,12,15,10,7,11,10,13
3,4,53,100,101,3593,4219,2638,4,9,17,10,9,15,12,11,11,9,6,14,7,6,18,13,7,10
3,5,45,51,48,2606,1618,885,14,17,18,14,13,9,18,5,7,11,11,3,17,5,9,13,21,23
4,1,25,34,36,972,635,449,16,7,7,8,9,10,11,16,9,12,10,10,12,12,11,12,13,8
4,2,36,39,45,2393,2133,2151,23,10,10,13,8,14,12,11,10,11,12,6,11,9,9,10,14,7
4,3,101,64,52,3470,3483,1522,16,13,11,7,16,14,8,8,12,13,8,4,8,13,7,19,12,16
4,4,55,69,70,1605,2213,1365,9,9,12,8,13,6,7,11,12,7,10,9,13,11,7,11,12,11
4,5,40,73,41,889,598,624,8,8,11,11,16,13,5,12,10,12,3,6,18,14,13,10,12,20
5,1,,,,,,,,,,,,,,,,,,,,,,,,
5,2,46,41,27,1166,565,478,8,8,9,7,12,15,10,7,7,16,11,10,11,14,12,15,7,8
5,3,59,44,42,946,803,497,11,8,15,9,7,10,9,5,7,13,5,12,12,13,7,7,13,19
5,4,55,52,36,820,650,504,6,3,7,11,10,11,9,7,10,8,11,13,10,11,19,16,8,12
5,5,,,,,,,,,,,,,,,,,,,,,,,,

