X Read #,Y Read #,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
1,1,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1044,29,277,13,14,265,431,114,352,1,36,161,489,80,99,14,26,12,38,21,5,22,20,21
1,3,946,39,207,38,60,255,513,122,188,13,43,164,293,51,131,11,37,16,18,43,7,15,18,19
1,4,620,36,258,47,35,282,536,135,178,7,69,236,341,46,205,10,30,35,44,30,0,23,23,21
1,5,,,,,,,,,,,,,,,,,,,,,,,,
2,1,860,28,523,95,54,187,681,78,400,56,58,154,438,67,689,0,112,21,16,5,14,32,22,15
2,2,812,29,196,8,30,204,732,32,371,56,37,143,414,63,539,31,98,28,25,18,10,12,31,18
2,3,964,44,251,3,25,205,872,33,536,68,62,144,493,77,460,28,58,15,45,22,0,15,32,10
2,4,501,32,112,24,37,186,702,79,740,25,32,139,411,49,559,15,46,32,23,27,3,13,26,12
2,5,897,17,218,35,80,190,849,135,1282,39,150,152,535,164,839,9,96,33,24,14,8,24,23,23
3,1,634,12,189,27,26,185,766,44,446,93,40,96,402,44,606,1,102,25,28,15,23,12,19,16
3,2,735,19,145,103,42,200,460,30,271,16,63,145,464,47,514,3,83,48,24,35,6,31,17,24
3,3,773,50,356,10,47,171,748,51,225,39,73,121,554,40,615,32,93,24,25,28,9,19,17,6
3,4,748,35,213,6,47,207,943,47,242,64,61,175,440,77,498,2,68,18,21,30,16,7,31,11
3,5,768,36,274,30,52,189,952,83,765,22,161,149,410,196,777,21,326,20,19,19,22,17,9,29
4,1,693,45,244,17,21,146,703,101,391,48,80,138,382,99,288,2,69,32,35,15,11,23,25,19
4,2,616,16,101,19,29,203,498,55,314,14,47,106,311,100,245,5,38,14,0,10,6,23,6,15
4,3,646,30,202,62,30,241,485,35,254,15,41,135,313,84,91,11,20,14,31,16,14,5,12,18
4,4,695,42,317,30,50,196,581,83,431,28,34,124,291,228,448,0,56,39,21,26,10,24,21,31
4,5,1136,34,709,6,99,296,900,330,787,43,182,160,488,306,618,27,221,8,34,2,11,31,12,17
5,1,,,,,,,,,,,,,,,,,,,,,,,,
5,2,625,62,402,6,18,146,433,55,131,27,38,137,263,36,104,10,25,25,20,23,13,20,18,11
5,3,675,41,294,55,32,246,486,88,61,6,26,126,297,15,59,20,33,6,15,21,6,11,25,24
5,4,788,106,440,39,56,299,582,87,135,24,58,165,276,28,89,8,28,25,2,29,12,28,8,9
5,5,,,,,,,,,,,,,,,,,,,,,,,,

