X Read #,Y Read #,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
1,1,,,,,,,,,,,,,,,,,,,,,,,,
1,2,9705,94,8796,98,398,386,2623,113,7903,38,294,2094,5372,96,6919,23,461,22,0,4,12,19,38,5
1,3,9629,194,2922,171,651,545,4464,194,6274,2,222,1861,5272,57,4729,10,674,22,14,11,3,0,18,13
1,4,6334,289,562,377,749,561,3901,212,816,30,275,1616,4917,48,759,10,517,22,17,18,21,6,31,10
1,5,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1955,114,6689,25,496,371,6256,963,4414,442,428,570,6092,508,569,1,482,77,15,20,18,12,11,12
2,2,4759,121,6808,385,473,288,4100,461,6540,433,340,1559,6278,1331,8286,12,1309,32,18,11,11,23,17,12
2,3,8054,181,7321,137,366,246,5581,418,10470,153,382,834,5770,163,9608,6,2057,32,0,17,17,17,39,16
2,4,3482,218,846,120,908,339,5861,618,6801,3,379,1629,5247,87,3731,18,664,45,27,28,20,1,19,16
2,5,1148,387,527,303,547,668,6195,790,6479,27,380,5540,4451,155,184,24,206,20,7,14,8,21,18,24
3,1,1364,177,5738,425,257,331,4129,1787,761,231,279,1143,4483,297,268,9,538,111,13,12,14,6,23,7
3,2,1409,167,6550,112,721,247,2759,405,2296,24,221,527,2648,120,5478,20,1482,51,11,0,4,13,27,0
3,3,1504,183,6467,444,356,273,2967,165,7807,574,457,763,3105,553,6453,51,2265,24,14,15,13,3,60,14
3,4,1182,173,1093,170,593,245,5889,186,5829,384,678,1324,2567,1047,5202,13,636,24,0,18,12,12,60,17
3,5,1005,304,527,321,507,494,6082,441,3305,26,543,1517,3083,3474,109,28,179,20,4,41,19,30,53,18
4,1,1301,385,417,74,223,324,2300,311,317,60,176,1225,3126,100,160,10,236,46,12,1,3,0,27,3
4,2,910,242,2821,93,497,293,3222,115,231,11,178,732,2506,46,1431,6,304,34,13,15,0,0,26,7
4,3,1098,211,621,282,724,232,4806,65,464,14,350,791,1771,103,1926,24,2662,29,19,13,3,6,24,6
4,4,1033,256,635,119,601,295,6788,92,4767,40,384,983,2888,599,227,11,2118,51,5,29,14,14,173,3
4,5,1000,412,524,409,567,437,4082,155,4184,16,370,3562,2531,1148,148,19,172,4,11,29,10,5,45,15
5,1,,,,,,,,,,,,,,,,,,,,,,,,
5,2,1178,315,373,96,237,322,1629,33,210,22,169,727,1312,45,128,0,208,34,13,17,11,0,23,11
5,3,1067,231,501,109,856,416,2185,44,116,26,182,753,1099,55,81,26,335,40,0,9,17,10,21,17
5,4,1146,415,598,110,708,429,2372,44,130,25,610,1008,1237,45,187,26,544,134,12,12,8,8,30,14
5,5,,,,,,,,,,,,,,,,,,,,,,,,

