X Read #,Y Read #,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
1,1,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,26,24,13,1180,3358,831,,,,,,,,,,,,
1,3,,,,,,,22,22,19,199,882,902,,,,,,,,,,,,
1,4,,,,,,,19,20,19,61,239,265,,,,,,,,,,,,
1,5,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,,,,,19,20,57,625,1848,331,,,,,,,,,,,,
2,2,,,,,,,17,20,34,1487,3834,2540,,,,,,,,,,,,
2,3,,,,,,,9,30,39,710,1346,1393,,,,,,,,,,,,
2,4,,,,,,,34,45,19,133,103,292,,,,,,,,,,,,
2,5,,,,,,,6,37,21,249,97,333,,,,,,,,,,,,
3,1,,,,,,,20,52,50,362,462,687,,,,,,,,,,,,
3,2,,,,,,,36,40,32,946,218,1296,,,,,,,,,,,,
3,3,,,,,,,27,67,78,394,72,168,,,,,,,,,,,,
3,4,,,,,,,7,78,79,347,127,194,,,,,,,,,,,,
3,5,,,,,,,51,93,89,195,252,296,,,,,,,,,,,,
4,1,,,,,,,33,36,49,403,60,410,,,,,,,,,,,,
4,2,,,,,,,43,21,19,787,76,371,,,,,,,,,,,,
4,3,,,,,,,39,47,31,1048,68,309,,,,,,,,,,,,
4,4,,,,,,,45,51,65,150,80,290,,,,,,,,,,,,
4,5,,,,,,,133,159,121,227,96,390,,,,,,,,,,,,
5,1,,,,,,,,,,,,,,,,,,,,,,,,
5,2,,,,,,,50,34,10,681,31,270,,,,,,,,,,,,
5,3,,,,,,,48,47,7,747,49,323,,,,,,,,,,,,
5,4,,,,,,,83,41,35,955,59,315,,,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,

