X Read #,Y Read #,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
1,1,,,,,,,,,,,,,,,,,,,,,,,,
1,2,20,27,17,29,73,142,0,12,10,18,15,0,9,0,8,0,27,36,17,22,8,10,0,17
1,3,14,32,18,63,203,508,24,27,0,8,0,32,25,26,12,0,13,10,27,18,12,19,8,12
1,4,5,21,24,100,204,320,12,22,25,13,11,17,7,15,11,26,0,0,13,14,23,2,27,22
1,5,,,,,,,,,,,,,,,,,,,,,,,,
2,1,30,41,47,52,72,62,27,7,9,0,1,0,22,10,2,31,5,2,12,12,23,0,0,23
2,2,34,15,35,164,197,161,0,0,15,13,2,11,17,8,0,7,17,17,6,7,6,32,22,20
2,3,17,24,49,448,886,344,15,17,0,0,0,19,25,16,32,26,0,16,12,5,7,13,21,21
2,4,43,38,12,579,601,434,27,7,26,26,0,7,28,19,8,2,0,9,17,17,14,22,12,14
2,5,25,30,52,57,55,79,19,21,4,5,15,4,12,13,27,11,22,15,9,18,7,1,12,13
3,1,47,19,27,70,99,60,0,0,0,4,8,3,23,0,0,1,27,22,14,15,3,15,43,1
3,2,38,29,43,127,108,84,4,12,0,16,4,17,16,10,30,11,14,21,8,27,28,30,8,18
3,3,44,34,45,381,556,84,13,15,10,20,0,9,13,13,34,23,4,9,6,21,11,1,3,3
3,4,26,23,54,402,165,80,14,0,0,21,17,11,0,32,11,1,20,0,19,20,0,23,4,9
3,5,26,39,31,80,35,51,5,16,19,15,13,17,17,13,6,18,6,15,24,14,21,34,0,14
4,1,27,0,36,46,39,48,13,9,6,7,14,16,5,8,20,15,20,29,20,2,23,0,11,16
4,2,40,19,37,58,59,37,14,9,10,15,14,33,9,6,18,18,13,23,9,19,17,27,10,34
4,3,35,40,40,225,90,32,19,16,1,12,17,17,1,5,2,11,1,10,11,0,7,16,18,7
4,4,33,24,40,141,29,63,1,3,23,0,25,15,0,2,5,16,3,24,16,27,20,0,22,3
4,5,19,34,25,31,35,48,8,12,31,5,24,7,31,26,22,19,6,1,11,3,24,32,3,18
5,1,,,,,,,,,,,,,,,,,,,,,,,,
5,2,32,18,18,20,57,22,15,11,5,9,13,5,14,0,11,12,0,13,23,9,0,14,5,18
5,3,28,36,32,55,36,43,8,8,14,26,19,10,3,25,2,0,24,18,7,12,3,15,31,22
5,4,22,41,19,56,50,45,20,6,2,3,28,17,19,5,10,0,16,23,0,0,6,8,1,10
5,5,,,,,,,,,,,,,,,,,,,,,,,,

