X Read #,Y Read #,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6
1,1,,,,,,,,,,,,,,,,,,,,,,,,
1,2,32,42,11,636,1827,1704,,,,,,,,,,,,,,,,,,
1,3,17,25,34,1944,3781,2261,,,,,,,,,,,,,,,,,,
1,4,22,43,17,1053,4873,2455,,,,,,,,,,,,,,,,,,
1,5,,,,,,,,,,,,,,,,,,,,,,,,
2,1,16,32,43,3861,1321,648,,,,,,,,,,,,,,,,,,
2,2,33,59,58,4815,5568,3593,,,,,,,,,,,,,,,,,,
2,3,33,101,69,5332,6996,6629,,,,,,,,,,,,,,,,,,
2,4,37,68,62,4880,7071,6282,,,,,,,,,,,,,,,,,,
2,5,35,48,62,2994,3825,1169,,,,,,,,,,,,,,,,,,
3,1,7,33,31,2932,2103,876,,,,,,,,,,,,,,,,,,
3,2,42,56,57,7247,4952,4837,,,,,,,,,,,,,,,,,,
3,3,93,141,233,6946,5542,7596,,,,,,,,,,,,,,,,,,
3,4,69,122,82,6582,5305,5808,,,,,,,,,,,,,,,,,,
3,5,40,30,56,5737,3125,2411,,,,,,,,,,,,,,,,,,
4,1,34,37,38,461,561,582,,,,,,,,,,,,,,,,,,
4,2,49,33,24,2744,2938,3119,,,,,,,,,,,,,,,,,,
4,3,40,54,39,5724,3213,3930,,,,,,,,,,,,,,,,,,
4,4,36,42,37,2024,2428,3587,,,,,,,,,,,,,,,,,,
4,5,30,40,48,823,814,1359,,,,,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,,,,,,,,,,,,
5,2,32,48,43,1068,1080,1126,,,,,,,,,,,,,,,,,,
5,3,31,34,31,1562,864,939,,,,,,,,,,,,,,,,,,
5,4,33,27,30,1048,872,1245,,,,,,,,,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,
